DATE,USD,INF
1/3/2017,119.0881,2.1
1/4/2017,118.8785,2.12
1/5/2017,117.9987,2.07
1/6/2017,118.3476,2.08
1/9/2017,118.4089,2.05
1/10/2017,118.5365,2.06
1/11/2017,119.0197,2.13
1/12/2017,117.7984,2.09
1/13/2017,117.9865,2.13
1/16/2017,117.9865,2.13
1/17/2017,117.2644,2.1
1/18/2017,117.7232,2.14
1/19/2017,118.3174,2.18
1/20/2017,118.3174,2.16
1/23/2017,117.2477,2.18
1/24/2017,117.0513,2.19
1/25/2017,116.9353,2.2
1/26/2017,117.2761,2.22
1/27/2017,117.0725,2.2
1/30/2017,116.7311,2.19
1/31/2017,116.2235,2.16
2/1/2017,116.391,2.18
2/2/2017,115.902,2.17
2/3/2017,115.6244,2.19
2/6/2017,116.0489,2.13
2/7/2017,116.4069,2.13
2/8/2017,116.1371,2.1
2/9/2017,116.3044,2.12
2/10/2017,116.1461,2.15
2/13/2017,116.3407,2.13
2/14/2017,116.3925,2.15
2/15/2017,116.2139,2.19
2/16/2017,116.0046,2.14
2/17/2017,116.4014,2.17
2/20/2017,116.4014,2.17
2/21/2017,116.59,2.19
2/22/2017,116.2112,2.16
2/23/2017,115.6503,2.16
2/24/2017,115.8119,2.1
2/27/2017,115.6739,2.16
2/28/2017,116.0011,2.15
3/1/2017,116.4353,2.22
3/2/2017,116.84,2.18
3/3/2017,116.6408,2.16
3/6/2017,116.4283,2.12
3/7/2017,116.4272,2.14
3/8/2017,116.8719,2.12
3/9/2017,116.9931,2.11
3/10/2017,116.6132,2.12
3/13/2017,116.3978,2.16
3/14/2017,116.5618,2.1
3/15/2017,116.3555,2.18
3/16/2017,115.4432,2.17
3/17/2017,115.276,2.13
3/20/2017,115.0402,2.14
3/21/2017,114.8099,2.16
3/22/2017,114.7917,2.15
3/23/2017,114.7881,2.15
3/24/2017,114.6352,2.23
3/27/2017,114.2332,2.19
3/28/2017,114.4173,2.21
3/29/2017,114.7141,2.16
3/30/2017,114.5218,2.11
3/31/2017,114.7914,2.17
4/3/2017,114.8707,2.19
4/4/2017,115.0011,2.15
4/5/2017,114.9468,2.17
4/6/2017,115.0155,2.19
4/7/2017,115.0515,2.18
4/10/2017,115.1068,2.17
4/11/2017,115.0061,2.12
4/12/2017,114.9133,2.11
4/13/2017,114.5029,2.1
4/14/2017,114.5339,2.1
4/17/2017,114.3257,2.07
4/18/2017,114.2559,2.05
4/19/2017,114.7914,2.04
4/20/2017,114.6198,1.88
4/21/2017,114.8118,1.89
4/24/2017,114.3652,1.93
4/25/2017,114.5113,1.97
4/26/2017,114.948,1.97
4/27/2017,114.9951,2.01
4/28/2017,114.7882,2.03
5/1/2017,114.5924,2.04
5/2/2017,114.6797,1.99
5/3/2017,114.664,1.98
5/4/2017,114.9084,2
5/5/2017,114.7734,1.97
5/8/2017,115.0903,1.97
5/9/2017,115.3938,1.98
5/10/2017,115.1146,1.92
5/11/2017,115.0669,1.94
5/12/2017,114.7479,1.93
5/15/2017,114.3504,1.9
5/16/2017,113.9924,1.9
5/17/2017,113.7512,1.86
5/18/2017,114.2701,1.88
5/19/2017,113.7014,1.89
5/22/2017,113.5456,1.89
5/23/2017,113.6874,1.89
5/24/2017,113.6757,1.89
5/25/2017,113.3726,1.9
5/26/2017,113.4838,1.89
5/29/2017,113.4838,1.89
5/30/2017,113.5557,1.89
5/31/2017,113.2962,1.9
6/1/2017,113.302,1.89
6/2/2017,113.1915,1.86
6/5/2017,112.9761,1.86
6/6/2017,112.7099,1.83
6/7/2017,112.8197,1.87
6/8/2017,112.8354,1.87
6/9/2017,112.9556,1.88
6/12/2017,112.9831,1.83
6/13/2017,112.6261,1.83
6/14/2017,112.0727,1.83
6/15/2017,112.8699,1.78
6/16/2017,112.6145,1.78
6/19/2017,112.7563,1.78
6/20/2017,113.2685,1.78
6/21/2017,113.3318,1.78
6/22/2017,113.1642,1.81
6/23/2017,112.8657,1.81
6/26/2017,112.7623,1.81
6/27/2017,112.5494,1.8
6/28/2017,112.0744,1.81
6/29/2017,111.9981,1.82
6/30/2017,111.9897,1.83
7/3/2017,112.4268,1.84
7/4/2017,112.4268,1.84
7/5/2017,112.6534,1.85
7/6/2017,112.42,1.86
7/7/2017,112.3132,1.83
7/10/2017,112.158,1.84
7/11/2017,112.1427,1.89
7/12/2017,111.5892,1.89
7/13/2017,111.5352,1.9
7/14/2017,110.9066,1.9
7/17/2017,110.9296,1.9
7/18/2017,110.4349,1.9
7/19/2017,110.4329,1.87
7/20/2017,110.2504,1.92
7/21/2017,110.1902,1.9
7/24/2017,110.1998,1.94
7/25/2017,110.2831,1.95
7/26/2017,110.3805,1.94
7/27/2017,110.2154,1.98
7/28/2017,109.9197,1.98
7/31/2017,109.8181,1.97
8/1/2017,109.8498,1.96
8/2/2017,109.7508,1.95
8/3/2017,109.8336,1.94
8/4/2017,110.2807,1.95
8/7/2017,110.373,1.95
8/8/2017,110.3956,1.97
8/9/2017,110.367,1.94
8/10/2017,110.1884,1.92
8/11/2017,110.0421,1.94
8/14/2017,110.0947,1.95
8/15/2017,110.4839,1.93
8/16/2017,110.4385,1.94
8/17/2017,110.1666,1.93
8/18/2017,110.04,1.91
8/21/2017,109.7342,1.91
8/22/2017,109.8373,1.93
8/23/2017,109.8082,1.92
8/24/2017,109.7511,1.9
8/25/2017,109.3405,1.93
8/28/2017,109.181,1.94
8/29/2017,109.0944,1.94
8/30/2017,109.4047,1.95
8/31/2017,109.3676,1.94
9/1/2017,109.0492,1.95
9/4/2017,109.0492,1.95
9/5/2017,108.8654,1.96
9/6/2017,108.4885,1.96
9/7/2017,107.9211,1.97
9/8/2017,107.8071,1.99
9/11/2017,108.1518,2.03
9/12/2017,108.3233,2.01
9/13/2017,108.6618,2.02
9/14/2017,108.6175,2
9/15/2017,108.315,1.98
9/18/2017,108.6402,2
9/19/2017,108.6147,2
9/20/2017,108.4336,1.99
9/21/2017,108.9274,1.96
9/22/2017,108.7548,1.97
9/25/2017,109.3307,1.96
9/26/2017,109.7772,1.96
9/27/2017,110.0726,2
9/28/2017,110.2425,2.01
9/29/2017,110.0876,2
10/2/2017,110.3688,1.93
10/3/2017,110.3284,2
10/4/2017,110.2427,1.97
10/5/2017,110.5821,1.98
10/6/2017,110.7839,1.96
10/9/2017,110.7839,1.96
10/10/2017,110.3037,2.01
10/11/2017,110.3042,2.03
10/12/2017,110.3156,1.99
10/13/2017,110.2678,1.99
10/16/2017,110.5443,2.02
10/17/2017,110.9149,1.95
10/18/2017,110.7218,1.99
10/19/2017,110.4583,2.02
10/20/2017,111.0382,1.98
10/23/2017,111.2144,2.03
10/24/2017,111.4036,2.01
10/25/2017,111.3921,2.02
10/26/2017,111.643,2.02
10/27/2017,112.1504,2
10/30/2017,111.9022,1.97
